archivo,linea,texto,clasificacion
R/12_cierre_auditoria_articulo.R,52,"write_csv(tibble(parametro=c(""IRR origen extranjera vs nacional"",""Shape binomial negativa""),estimador=c(rp$IRR,rp$shape),ICr95_inf=c(rp$ICr95_inf,rp$shape_inf),ICr95_sup=c(rp$ICr95_sup,rp$shape_sup),probabilidad_posterior=c(rp$P_IRR_gt_1,NA_real_)),""output/articulo/tabla_modelo_principal.csv"")",Script historico conservado; no alimenta archivos Poisson nuevos
R/12_cierre_auditoria_articulo.R,74,"fit21<-brm(form,data=filter(estr,anio!=2021),family=negbinomial(),prior=mkprior(),chains=4,iter=4000,warmup=2000,seed=SEED,backend=""rstan"",control=list(adapt_delta=.999,max_treedepth=15),refresh=0,file=""output/bayes/sensibilidad_final/sin_2021"")",Script historico conservado; no alimenta archivos Poisson nuevos
R/12_cierre_auditoria_articulo.R,81,"if(i==1) x<-fit else x<-brm(form,data=estr,family=negbinomial(),prior=mkprior(esc$osd[i],esc$shrate[i]),chains=4,iter=3000,warmup=1500,seed=SEED+i,backend=""rstan"",control=list(adapt_delta=.999,max_treedepth=15),refresh=0,file=file.path(""output/bayes/sensibilidad_final"",paste0(""prior_"",letters[i])))",Script historico conservado; no alimenta archivos Poisson nuevos
R/12_cierre_auditoria_articulo.R,101,"""Modelo principal: cargado desde output/bayes/fit_nb_spline_final_con_densidad.rds"",",Script historico conservado; no alimenta archivos Poisson nuevos
R/13_sensibilidad_2024.R,17,"fit <- readRDS(""output/bayes/fit_nb_spline_final_con_densidad.rds"")",Script historico conservado; no alimenta archivos Poisson nuevos
R/13_sensibilidad_2024.R,35,"fit24 <- brm(form, data = filter(estr, anio != 2024), family = negbinomial(),",Script historico conservado; no alimenta archivos Poisson nuevos
R/15_migracion_principal_poisson.R,21,"archivo_nb <- ""output/bayes/fit_nb_spline_final_con_densidad.rds""",Sensibilidad de familia autorizada
R/15_migracion_principal_poisson.R,311,"stopifnot(family(fit_nb)$family == ""negbinomial"")",Sensibilidad de familia autorizada
R/15_migracion_principal_poisson.R,315,"cmp <- loo_compare(list(""Binomial negativa"" = loo_nb, ""Poisson"" = loo_poisson))",Sensibilidad de familia autorizada
R/15_migracion_principal_poisson.R,329,"familia = ""Binomial negativa"", ELPD_LOO = loo_nb$estimates[""elpd_loo"", ""Estimate""],",Sensibilidad de familia autorizada
R/15_migracion_principal_poisson.R,339,"contraste = ""Binomial negativa menos Poisson"",",Sensibilidad de familia autorizada
R/15_migracion_principal_poisson.R,343,"""La binomial negativa no mostro una mejora predictiva clara frente a Poisson;"",",Sensibilidad de familia autorizada
R/15_migracion_principal_poisson.R,365,"""Sensibilidad de familia"", ""loo_compare"", ""fit_poisson + fit_nb"", ""poisson + negbinomial""",Sensibilidad de familia autorizada
R/15_migracion_principal_poisson.R,366,") %>% mutate(verificacion_ok = familia_verificada %in% c(""poisson"", ""poisson + negbinomial""))",Sensibilidad de familia autorizada
R/15_migracion_principal_poisson.R,397,"patron_nb <- ""fit_nb_spline_final_con_densidad|negbinomial|binomial negativ""",Sensibilidad de familia autorizada
R/15_migracion_principal_poisson.R,425,"""output/bayes/fit_nb_spline_final_con_densidad.rds"",",Sensibilidad de familia autorizada
R/15_migracion_principal_poisson.R,426,"""output/bayes/fit_nb_spline_final_con_densidad_ad999.rds"",",Sensibilidad de familia autorizada
./articulo_maestro.Rmd,35,"sh<-tm[tm$parametro==""Shape binomial negativa"",]",Manuscrito pendiente de actualizacion; no modificado
./articulo_maestro.Rmd,44,nacidos vivos entre 2009 y 2024. Se ajustó un modelo bayesiano binomial negativo,Manuscrito pendiente de actualizacion; no modificado
./articulo_maestro.Rmd,112,"spline natural de tres grados de libertad, además de una binomial negativa",Manuscrito pendiente de actualizacion; no modificado
./informe_sifilis_congenita.Rmd,150,"de Pearson (χ²/gl = 2,01) y un modelo binomial negativo exploratorio (θ =",Script historico conservado; no alimenta archivos Poisson nuevos
./informe_sifilis_congenita.Rmd,155,"término cuadrático ni spline), reservando la binomial negativa como",Script historico conservado; no alimenta archivos Poisson nuevos
./resultados_finales_auditados.Rmd,33,"shape <- tm |> filter(parametro==""Shape binomial negativa"")",Manuscrito pendiente de actualizacion; no modificado
./resultados_finales_auditados.Rmd,104,"Parámetro=c(""IRR: extranjera frente a nacional"",""Shape de la binomial negativa""),",Manuscrito pendiente de actualizacion; no modificado
